instruction,response,output,prompt,history,summary,his_len,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Thank you,Thank you for using [ORG]. Results came back negative for any [ORG] in [LOC]. Please let us know if the information you provided is incorrect or if the situation changes in the future.,Got it,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user sends a message to an admin in the morning regarding a test for a location. The admin responds, confirming that they have received the message. The user thanks the admin and the admin confirms that they have received the message at their organization. The user thanks the admin again and the admin acknowledges that they have received the message. 
 User: [DATE] morning [ORG] test for [GPE]. Please respond, thank you.
Dispatcher: Hello, message received 
 User: Thank you
Dispatcher: Received at [ORG] 
 User: Thank you
Dispatcher:","[['[DATE] morning [ORG] test for [GPE]. Please respond, thank you.', 'Hello, message received'], ['Thank you', 'Received at [ORG]']]","A user sends a message to an admin in the morning regarding a test for a location. The admin responds, confirming that they have received the message. The user thanks the admin and the admin confirms that they have received the message at their organization. The user thanks the admin again and the admin acknowledges that they have received the message.",7,1,2,1,,,,2,0,100,100,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
There has been a leak in my ceiling for the past half hour,ALERT,We will contact maintenance. What is your room number?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a leak in their ceiling to an admin, who promises to contact maintenance. The admin asks for the user's room number, but the user does not provide it. Later, the user asks for an update and the admin responds that maintenance has been contacted and will address the issue in the morning, but does not specify a specific time. 
 User: There has been a leak in my ceiling for the past half hour
Dispatcher:",[],"A user reports a leak in their ceiling to an admin, who promises to contact maintenance. The admin asks for the user's room number, but the user does not provide it. Later, the user asks for an update and the admin responds that maintenance has been contacted and will address the issue in the morning, but does not specify a specific time.",5,1,9,1,99,10.18,,4.5,22.22,77.78,66.67,55.56,33.33,22.22,0,11.11,11.11,0,0,11.11,11.11,0,0,0,22.22,0,0,0,22.22,0,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,0,22.22,11.11,0,11.11,0,0,0,0
Emotional trauma,What's the problem and where are you?,Thanks,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user urgently asks for someone to come to Tate ### due to an emergency. The admin asks for more information and the user reveals it is emotional trauma caused by an overdose of medication. The admin confirms that security will be sent and asks if the person is conscious. The user confirms they are conscious and the admin assures them that an officer will be there. The user thanks the admin for their help and the admin is glad to assist. 
 User: Can you please come to Tate ###. It's urgent.
Dispatcher: Will send Security, what's the nature of the#emergency 
 User: Emotional trauma
Dispatcher:","[[""Can you please come to Tate ###. It's urgent."", ""Will send Security, what's the nature of the#emergency""]]",A user urgently asks for someone to come to Tate ### due to an emergency. The admin asks for more information and the user reveals it is emotional trauma caused by an overdose of medication. The admin confirms that security will be sent and asks if the person is conscious. The user confirms they are conscious and the admin assures them that an officer will be there. The user thanks the admin for their help and the admin is glad to assist.,12,1,1,,,,99,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello this is not an emergency. My name is [PERSON] and I would like to request an escort from [PERSON] to [FAC].,"This is Dispatcher number, we will send an officer to meet you at [PERSON]'s residency and walk you to the stop. Can you confirm you are at ###? And is his name or room number?",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] OPERATING [ACRONYM] #:## [ACRONYM].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user contacts an admin to request an escort from one person to a facility. The admin responds with an acronym and operating number. The admin asks if there is a specific reason for a police escort. The user asks for someone to walk them to a bus stop and the admin asks if it is at the stop light. The user confirms and the admin asks for the name of the officer. The user gives the name and the admin confirms. The user thanks the admin and the admin responds with ""you're welcome."" 
 User: Hello this is not an emergency. My name is [PERSON] and I would like to request an escort from [PERSON] to [FAC].
Dispatcher:",[],"A user contacts an admin to request an escort from one person to a facility. The admin responds with an acronym and operating number. The admin asks if there is a specific reason for a police escort. The user asks for someone to walk them to a bus stop and the admin asks if it is at the stop light. The user confirms and the admin asks for the name of the officer. The user gives the name and the admin confirms. The user thanks the admin and the admin responds with ""you're welcome.""",12,1,7,,,,,7,100,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.86,14.29,0,0,0,0,228.57,0
Hello is there any way you guys could jump start a car my battery is dead don't know if you could do this but just thought I would ask thank you!,[ACRONYM],Where are you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user asks if the admin can jump start their car as their battery is dead. The admin asks for the user's location and the color of their car. The user reveals they are in a parking lot and their car is a white [ORG] soul. The admin informs the user that an officer is on the way and advises them to stay by their car. The user thanks the admin. 
 User: Hello is there any way you guys could jump start a car my battery is dead don't know if you could do this but just thought I would ask thank you!
Dispatcher:",[],A user asks if the admin can jump start their car as their battery is dead. The admin asks for the user's location and the color of their car. The user reveals they are in a parking lot and their car is a white [ORG] soul. The admin informs the user that an officer is on the way and advises them to stay by their car. The user thanks the admin.,8,1,3,1,99,99,,3,0,100,100,100,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0
Can someone please come and let the [ORG] staff in the [ORG] ## clinic on [PERSON]. The door will not unlock for us.....Thank you.,"Do you have a key card? It has to be a key card entry, correct?",Is it going to be a hard key or a swipe key?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user requests for someone to come and let the staff of an organization into a clinic on a specific person. The door is not unlocking for them. The admin asks if it is a hard key or a swipe key. The user confirms it is a swipe key card and later informs that they were able to enter. The admin thanks them for letting them know and cancels any further assistance. 
 User: Can someone please come and let the [ORG] staff in the [ORG] ## clinic on [PERSON]. The door will not unlock for us.....Thank you.
Dispatcher:",[],A user requests for someone to come and let the staff of an organization into a clinic on a specific person. The door is not unlocking for them. The admin asks if it is a hard key or a swipe key. The user confirms it is a swipe key card and later informs that they were able to enter. The admin thanks them for letting them know and cancels any further assistance.,5,1,12,73.36,6.61,99,,12,0,100,100,58.33,8.33,0,0,0,0,0,0,8.33,16.67,16.67,0,8.33,16.67,0,8.33,0,41.67,25,0,0,0,0,0,25,0,25,16.67,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.33,0,0,0,8.33,0,0,8.33,16.67,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
I don't know if you can help because neither of us go to[ORG]. I have a friend in [GPE] near [ORG]. His name is [PERSON]. He lives in [ORG] on [ORG] and I'm scared he's going to kill or hurt himself. I'm trying to talk him down but I don't think I'm helping and I didn't know what to do.,THANK YOU FOR CONTACTING [ORG]. WHO IS YOUR FRIEND'S ROOMMATE?,Do you know the specific apartment your friend lives in?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help. 
 User: I don't know if you can help because neither of us go to[ORG]. I have a friend in [GPE] near [ORG]. His name is [PERSON]. He lives in [ORG] on [ORG] and I'm scared he's going to kill or hurt himself. I'm trying to talk him down but I don't think I'm helping and I didn't know what to do.
Dispatcher:",[],"A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help.",33,1,10,69.05,99,99,,10,20,100,80,50,20,20,0,0,20,0,0,0,20,10,0,10,10,0,0,0,30,10,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,30,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
He’s responding again,Did he jump or is he still on the balcony?,Does [PERSON] take any type of medication?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help. 
 User: The address is ### w [ORG] st
Dispatcher: That’s all he gave me when I went to visit a few days ago 
 User: Is [PERSON] currently threatening to harm himself?
Dispatcher: Yes. He said he might jump off his balcony. And he says nothing can help him and that dying is the only way to end his suffering 
 User: I am entering a call for service to have [GPE] respond to his location.
Dispatcher: Are you still on the phone with him? 
 User: I[PERSON] messaging him over [PERSON]
Dispatcher: He hasn’t responded to my last message 
 User: How long has it been since he stopped responding?
Dispatcher: A few minutes 
 User: He’s responding again
Dispatcher:","[['The address is ### w [ORG] st', 'That’s all he gave me when I went to visit a few days ago'], ['Is [PERSON] currently threatening to harm himself?', 'Yes. He said he might jump off his balcony. And he says nothing can help him and that dying is the only way to end his suffering'], ['I am entering a call for service to have [GPE] respond to his location.', 'Are you still on the phone with him?'], ['I[PERSON] messaging him over [PERSON]', 'He hasn’t responded to my last message'], ['How long has it been since he stopped responding?', 'A few minutes']]","A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help.",33,1,7,89.52,97.11,,,7,14.29,85.71,57.14,42.86,0,0,0,0,0,0,0,0,14.29,0,0,14.29,14.29,0,0,0,28.57,0,0,0,0,0,0,14.29,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,42.86,0,0,14.29,0,0,28.57,0
On New Years he said he wanted to disappear and that he might hurt himself. And I went to visit him because I thought that would help,Can you tell us how long his roommates will be out of town for?,"Two units have marked on scene at the apartment building,","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help. 
 User: A few minutes
Dispatcher: He’s responding again 
 User: Does [PERSON] take any type of medication?
Dispatcher: I think he is on something. He’s a bi polar schizophrenic 
 User: Units are en route to his location.
Dispatcher: Thank you 
 User: You are welcome.
Dispatcher: Does [PERSON] have any roomates? 
 User: Yes but I think they’re out of town
Dispatcher: Has he made threats like this before? 
 User: On New Years he said he wanted to disappear and that he might hurt himself. And I went to visit him because I thought that would help
Dispatcher:","[['A few minutes', 'He’s responding again'], ['Does [PERSON] take any type of medication?', 'I think he is on something. He’s a bi polar schizophrenic'], ['Units are en route to his location.', 'Thank you'], ['You are welcome.', 'Does [PERSON] have any roomates?'], ['Yes but I think they’re out of town', 'Has he made threats like this before?']]","A user is seeking help for their friend, [PERSON], who lives in [ORG] and is threatening to harm himself. The admin asks for the specific apartment number and confirms that [PERSON] is currently making threats. The admin calls for emergency services to respond to [PERSON]'s location and asks if the user is still in contact with [PERSON]. The user mentions that [PERSON] has a history of mental illness and may be on medication. The admin confirms that units are on their way and asks if [PERSON] has roommates. The user mentions that [PERSON] has made similar threats in the past and that they are currently communicating with [PERSON] through messaging. The admin updates that units have made contact with [PERSON] and are taking him to the hospital for evaluation. The user thanks the admin for their help.",33,1,10,99,,7.03,,10,20,60,50,50,0,0,0,0,0,0,0,0,20,10,10,20,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
Please see image. This message is going out to people in the community. Please know that this is unacceptable. There has been no official messaging to those on campus and there is an extreme amount of anxiety. Of you can send someone from [ACRONYM] to our official sheltering in place locations that would be a huge help.,THANKS [ACRONYM],Good evening Ms. [PERSON]. I will pass on this information to my supervisor.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user expresses concern about a message being sent to the community without official messaging to those on campus, causing anxiety. They request for someone from [ACRONYM] to be sent to official sheltering locations. An admin responds and promises to pass on the information to their supervisor. The user thanks them and requests for a DPS officer to be present at two locations. The admin explains that all available staff are currently on service calls but will inform their supervisor about the incident being tweeted. The user mentions false information being spread on multiple tweets and promises to send the next tweet. The admin thanks them. 
 User: Please see image. This message is going out to people in the community. Please know that this is unacceptable. There has been no official messaging to those on campus and there is an extreme amount of anxiety. Of you can send someone from [ACRONYM] to our official sheltering in place locations that would be a huge help.
Dispatcher:",[],"A user expresses concern about a message being sent to the community without official messaging to those on campus, causing anxiety. They request for someone from [ACRONYM] to be sent to official sheltering locations. An admin responds and promises to pass on the information to their supervisor. The user thanks them and requests for a DPS officer to be present at two locations. The admin explains that all available staff are currently on service calls but will inform their supervisor about the incident being tweeted. The user mentions false information being spread on multiple tweets and promises to send the next tweet. The admin thanks them.",7,1,13,53.56,81.78,99,99,6.5,23.08,100,53.85,46.15,23.08,15.38,15.38,0,0,0,0,7.69,15.38,0,0,15.38,7.69,0,0,0,15.38,0,0,7.69,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,0,0,15.38,15.38,0,7.69,7.69,0,0,0,0,0,38.46,23.08,0,23.08,0,0,0,23.08,0,0,7.69,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,7.69,0,0,0,0,15.38,0,0,7.69,0,0,0,0,0,38.46,23.08,0,0,0,0,15.38,0
"Hi, I'm sorry if this is wasting your time but I was told by my therapist at caps that if I felt suicidal at all I should talk to [ORG]. I don't want to worry you, I'm not feeling actively suicidal or planning anything or anything like that, I just strongly feel the urge to not live anymore if that makes sense? And I think I've been having a panic attack for a few hours now, my chest feels really tight and my breathing is short. I tried reaching out to one of those hotlines online but have been waiting for a while. I'm sorry if this is not your problem or if I'm keeping you from doing something more important, this is not urgent or an emergency, I just don't know what to do.","Thank you for talking with us, we are here to help however we can. How long have you felt the urge to not live? And what is your location?",Thank you for using LiveSafe! Where are you? I will send an Officer to you.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user reaches out to an admin, apologizing for potentially wasting their time. They explain that their therapist advised them to talk to [ORG] if they ever felt suicidal. The user clarifies that they are not actively suicidal but have been experiencing strong urges to not live. They also mention having a panic attack and trying to reach out to a hotline. The admin offers to send an officer to the user's location, but the user is unsure if that is necessary. They are currently in bed and just want to know what to do. The admin offers the option to speak to an officer or resident director on the phone, but the user is unsure and asks if they can continue talking on the platform. The admin confirms that they can continue the conversation there. 
 User: Hi, I'm sorry if this is wasting your time but I was told by my therapist at caps that if I felt suicidal at all I should talk to [ORG]. I don't want to worry you, I'm not feeling actively suicidal or planning anything or anything like that, I just strongly feel the urge to not live anymore if that makes sense? And I think I've been having a panic attack for a few hours now, my chest feels really tight and my breathing is short. I tried reaching out to one of those hotlines online but have been waiting for a while. I'm sorry if this is not your problem or if I'm keeping you from doing something more important, this is not urgent or an emergency, I just don't know what to do.
Dispatcher:",[],"A user reaches out to an admin, apologizing for potentially wasting their time. They explain that their therapist advised them to talk to [ORG] if they ever felt suicidal. The user clarifies that they are not actively suicidal but have been experiencing strong urges to not live. They also mention having a panic attack and trying to reach out to a hotline. The admin offers to send an officer to the user's location, but the user is unsure if that is necessary. They are currently in bed and just want to know what to do. The admin offers the option to speak to an officer or resident director on the phone, but the user is unsure and asks if they can continue talking on the platform. The admin confirms that they can continue the conversation there.",7,1,15,22.17,99,19.26,97.84,5,13.33,93.33,86.67,66.67,26.67,26.67,6.67,0,20,0,0,0,6.67,6.67,0,13.33,13.33,6.67,0,0,33.33,0,0,6.67,0,0,6.67,6.67,0,6.67,0,6.67,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,33.33,6.67,6.67,6.67,0,0,6.67,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,6.67,6.67,0,0,0,0,0,20,6.67,0,6.67,6.67,0,0,0
We have it connected and the battery is on but the engine won’t flip on,"Does the car start and run normally? If so, that could be why the battery is dead.",Then your battery is completely dead and the jump won't help it. You'll need a new battery.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
The user asks the admin if they have anything to charge a car battery as they are trying to jump a car in the overflow lot. The admin informs them that they have a jump box that can be checked out at the [ACRONYM] and they will need to hold the user's [ACRONYM] while they have the jump box. The user thanks the admin and says they will be right over. Later, the user informs the admin that they have connected the jump box but the engine won't start. The admin explains that the battery is completely dead and a new one is needed. However, the user then says never mind as the car has started running. 
 User: We are trying to jump a car currently in the overflow lot and we're wondering if you had anything to charge a car battery?
Dispatcher: We have a jump box that you can check out. You will need to walk over to the [ACRONYM] to check it out. We will need to hold your [ACRONYM] while you have our jump box. 
 User: Ok thank you so much we will be right over
Dispatcher: You're welcome 
 User: We have it connected and the battery is on but the engine won’t flip on
Dispatcher:","[[""We are trying to jump a car currently in the overflow lot and we're wondering if you had anything to charge a car battery?"", 'We have a jump box that you can check out. You will need to walk over to the [ACRONYM] to check it out. We will need to hold your [ACRONYM] while you have our jump box.'], ['Ok thank you so much we will be right over', ""You're welcome""]]","The user asks the admin if they have anything to charge a car battery as they are trying to jump a car in the overflow lot. The admin informs them that they have a jump box that can be checked out at the [ACRONYM] and they will need to hold the user's [ACRONYM] while they have the jump box. The user thanks the admin and says they will be right over. Later, the user informs the admin that they have connected the jump box but the engine won't start. The admin explains that the battery is completely dead and a new one is needed. However, the user then says never mind as the car has started running.",8,1,17,1.05,99,12.44,99,8.5,17.65,88.24,82.35,58.82,17.65,11.76,0,0,11.76,0,0,5.88,17.65,11.76,0,0,17.65,5.88,11.76,5.88,29.41,11.76,0,5.88,5.88,0,0,11.76,0,11.76,0,0,5.88,0,5.88,0,0,11.76,11.76,0,0,0,0,0,0,0,0,17.65,5.88,5.88,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,0,5.88,5.88,0,5.88,0,0,0,0,11.76,0,5.88,11.76,0,0,0,0,0,23.53,11.76,0,0,0,11.76,0,0
I am along with the [ORG] store supervisor,"Okay great, we can assist however, it is recommended to call the number for basic policing services. If you need additional assistance, please call the number. If not, have a good night!","Okay, go ahead and talk to the officer. Thank you for contacting [ORG]. If you need the [ACRONYM] for anything else you can contact us using your Livesafe app, or by phone at (###)###-####.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.

A user admits to stealing an item from a store and contacts the [ACRONYM] Police. The admin asks if it is a crime in progress and provides a phone number to call if it is. The user confirms they are with an officer and the store supervisor. The admin advises them to speak with the officer and thanks them for contacting [ORG]. The user thanks the admin and wishes them a good day. 
 User: Stole item from [ACRONYM] store
Dispatcher: Thank you for calling [ACRONYM] Police! 
 User: Is this a crime in progress? If so, please call #-#-#.
Dispatcher: I have an officer but awaiting [ORG] to arrive 
 User: I understand you are with an officer currently?
Dispatcher: Yes 
 User: I am along with the [ORG] store supervisor
Dispatcher:","[['Stole item from [ACRONYM] store', 'Thank you for calling [ACRONYM] Police!'], ['Is this a crime in progress? If so, please call #-#-#.', 'I have an officer but awaiting [ORG] to arrive'], ['I understand you are with an officer currently?', 'Yes']]",A user admits to stealing an item from a store and contacts the [ACRONYM] Police. The admin asks if it is a crime in progress and provides a phone number to call if it is. The user confirms they are with an officer and the store supervisor. The admin advises them to speak with the officer and thanks them for contacting [ORG]. The user thanks the admin and wishes them a good day.,10,1,33,71.44,99,13.81,67.94,11,18.18,87.88,75.76,57.58,18.18,15.15,0,3.03,12.12,0,0,3.03,9.09,6.06,0,18.18,3.03,3.03,9.09,0,18.18,6.06,0,6.06,3.03,0,3.03,21.21,0,21.21,0,3.03,6.06,9.09,0,9.09,0,3.03,3.03,0,0,0,0,0,0,0,0,27.27,9.09,3.03,3.03,0,0,9.09,18.18,0,0,0,0,6.06,0,0,6.06,3.03,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,12.12,3.03,0,3.03,3.03,0,0,0,3.03,0,3.03,3.03,3.03,0,3.03,0,0,66.67,9.09,6.06,0,0,0,51.52,0
