instruction,response,output,prompt,history,summary,his_len,type
On*,"On*
",Okay. We will get an officer to check on him.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: On*
Dispatcher:",[],,5,MentalHealth
I am not sure if he is still there,"He is still there.
",ok thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am not sure if he is still there
Dispatcher:",[],,6,MentalHealth
That is where staff referred him to about ## mins,"The police department is here to help you. We are here to help you. We are here to help you.
",We will have officers check the area. Would you like to meet with officers?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: That is where staff referred him to about ## mins
Dispatcher:",[],,4,MentalHealth
I think they were jeans and she had on a jacket of some sort I don’t know the colors of either tho,"ok, so you saw her from behind, right?
",did she have any bags / boxes/ bikes / other items with her?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I didn’t have my phone with me so I walked back to my dorm to send this
Dispatcher: did you see the person? are you able to tell me if they are white / black / hispanic or native american? 
 User: She was white a female probably ## or ##
Dispatcher: could you tell what color shirt and pants she had on 
 User: Blonde I[PERSON] pretty sure
Dispatcher:? 
 User: I think they were jeans and she had on a jacket of some sort I don’t know the colors of either tho
Dispatcher:","[['I didn’t have my phone with me so I walked back to my dorm to send this', 'did you see the person? are you able to tell me if they are white / black / hispanic or native american?'], ['She was white a female probably ## or ##', 'could you tell what color shirt and pants she had on'], ['Blonde I[PERSON] pretty sure', '?']]",,9,MentalHealth
[ORG],"[ORG]
",We will try to locate her to make sure she is ok. Thank you for reporting this. is there anything else I can help with before we disconnect?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG]
Dispatcher:",[],,18,MentalHealth
I am back in the student [ORG] center if an officer would like to talk I am available,"I'll have an officer meet you there. 
","I will let the Officer know, thank you","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Holding a red jacket
Dispatcher: Okay, I have an officer heading to the #nd fl lounge of [ORG]. Would you like an officer to make contact with you directly? 
 User: I am back in the student [ORG] center if an officer would like to talk I am available
Dispatcher:","[['Holding a red jacket', 'Okay, I have an officer heading to the #nd fl lounge of [ORG]. Would you like an officer to make contact with you directly?']]",,8,MentalHealth
Thank you,"You're welcome
",you're welcome,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: He is alone in the room I think
Dispatcher: ok ill send some officers to check on him 
 User: Thank you
Dispatcher:","[['He is alone in the room I think', 'ok ill send some officers to check on him']]",,5,MentalHealth
"At this moment no. But from my perspective, he is exhibiting signs of suicide ideation.","What do you mean by that?
",Can you please explain what is it that has you so concerned?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: At this moment no. But from my perspective, he is exhibiting signs of suicide ideation.
Dispatcher:",[],,5,MentalHealth
[PERSON] * [excuse the autocorrect],"[dispatcher]
",Thank You! We made contact with roommate and told him to contact us when he returns to campus. Do you know where he might be? we can have a wellfare check done on him outside campus.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [PERSON] * [excuse the autocorrect]
Dispatcher:",[],,1,MentalHealth
He kept looking back and forth,"I'm here to help.
",thank you for using live safe and providing information,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: He kept looking back and forth
Dispatcher:",[],,7,MentalHealth
Just emailed them,"Thank you. 
",We have them and officers are on the way to [PERSON].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is there a way to attach new evidence
Dispatcher: You should be able to attach photos. If not, you can email them to [EMAIL] 
 User: “unless someone can give me an insanely good reason not to, I want to die [DATE]” and “i am a monster no one can say anything all I feel is pain I am going to kill myself if relief is nowhere to be found even [DATE] is too far away” are two entire texts
Dispatcher: We are sending an officer to talk to her. Are you able to screen shot and send the text messages? 
 User: Have the screenshots, going to email them.
Dispatcher: Thank you! 
 User: Just emailed them
Dispatcher:","[['Is there a way to attach new evidence', 'You should be able to attach photos. If not, you can email them to [EMAIL]'], ['“unless someone can give me an insanely good reason not to, I want to die [DATE]” and “i am a monster no one can say anything all I feel is pain I am going to kill myself if relief is nowhere to be found even [DATE] is too far away” are two entire texts', 'We are sending an officer to talk to her. Are you able to screen shot and send the text messages?'], ['Have the screenshots, going to email them.', 'Thank you!']]",,9,MentalHealth
