instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
thank you,you're welcome,thank you for contacting [ORG]. I'm sorry you felt unsafe but using the [UNK-NNP] app is a resource for you. I hope that has been a positive help. If you need to contact us again please do so in the future.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,SuspiciousActivity,13,99.0,98.65,
no prob,hello?,Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no prob
Dispatcher:",[],,SuspiciousActivity,6,,,
we all thought he dropped because he didn't like where his practicum/internship was. his supervisor there didn't give him learning experiences,we'll see what we can do to help him,What is the name of the supervisor and does he reside at [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: we all thought he dropped because he didn't like where his practicum/internship was. his supervisor there didn't give him learning experiences
Dispatcher:",[],,SuspiciousActivity,19,,99.0,99.0
I think some people call him [PERSON],We're going to need more information than that.,okay what exactly is he doing and can you provide a further description,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I think some people call him [PERSON]
Dispatcher:",[],,SuspiciousActivity,1,,99.0,99.0
yeah. im just tired and want to try to sleep,ok. whats going on?,"All right then, thank you for reporting this and have a good night.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yeah. im just tired and want to try to sleep
Dispatcher:",[],,SuspiciousActivity,10,1.0,99.0,
guy,dispatcher,Thank [UNK-NNP]. We have [UNK-NNP] in the area. Are you willing to speak with an [UNK-NNP]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: guy
Dispatcher:",[],,SuspiciousActivity,9,,,99.0
"ok, thank you, hope I don't make you come for nothing!",I'm not worried.,"its o.k. thank you and have a good night,","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ok, thank you, hope I don't make you come for nothing!
Dispatcher:",[],,SuspiciousActivity,5,99.0,99.0,99.0
Is one coming right now?,"Yes, one is on the way.",Yes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is one coming right now?
Dispatcher:",[],,SuspiciousActivity,9,,,99.0
the girl is wearing a blue dress,the girl is wearing a blue dress,How long ago was this?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the girl is wearing a blue dress
Dispatcher:",[],,SuspiciousActivity,6,,70.91,
Taylor place. I know he is somewhere on the [PERSON] floors,"okay, you need to get to the [PERSON] floor",do you know where they live or would you be willing to speak to an officer?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: correct
Dispatcher: i can see you are on the downtown cAMPUS 
 User: Taylor place. I know he is somewhere on the [PERSON] floors
Dispatcher:","[['correct', 'i can see you are on the downtown cAMPUS']]",,SuspiciousActivity,7,,,
I didn't really look I apologize. that's all I remember.,That's okay.,do you remember what color the bandana was? Or what color shirt/jacket he was wearing?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: about ## minutes ago, and his face was covered with a bandana.
Dispatcher: Thank you. When did you last seen him? What was his face covered with? 
 User: I didn't really look I apologize. that's all I remember.
Dispatcher:","[['about ## minutes ago, and his face was covered with a bandana.', 'Thank you. When did you last seen him? What was his face covered with?']]",,SuspiciousActivity,6,,89.58,
thank you so muxh,you're welcome,Thank you. We are getting calls on this male. We will have officres check it out.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you so muxh
Dispatcher:",[],,SuspiciousActivity,2,99.0,99.0,1.0
black hoodie. the guy is white skinned,"Alright, please stay calm and do not make any sudden movements. We will be there in a few minutes.",Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: very quiet
Dispatcher: Thank you, we have already received the call.. And officers are on the way. Is he alone? and can you give a clothing description 
 User: black hoodie. the guy is white skinned
Dispatcher:","[['very quiet', 'Thank you, we have already received the call.. And officers are on the way. Is he alone? and can you give a clothing description']]",,SuspiciousActivity,12,,,
[[ORG]],[[ORG]],Thank you for your assistance.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [[ORG]]
Dispatcher:",[],,SuspiciousActivity,34,,,
"Yes, sorry for the delay. west of the stairway",No problem.,Thank you for your response. Officers have checked the area and everything is clear. Have a good night!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes, sorry for the delay. west of the stairway
Dispatcher:",[],,SuspiciousActivity,3,,99.0,
Thanks!,You're welcome.,"I don't know what kind of follow up will be needed later for this incident. I will do the best that I can on my part of it to keep your name out of it. But like I said, I don't know what follow ups may be needed for it.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thanks!
Dispatcher:",[],,SuspiciousActivity,8,99.0,96.74,
no voices or anything else just huge crashing sounds,"""Hello, what is your emergency?""",No problem we will have officers to respond.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no voices or anything else just huge crashing sounds
Dispatcher:",[],,SuspiciousActivity,7,,99.0,99.0
no I have not,"okay, I am going to have an officer come out and take a look at it. They will be there shortly.",ok. officers will be meeting with you shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: where should I meet them?
Dispatcher: Stay where you are. They will meet with you there at your apartment 
 User: okay thank you so much
Dispatcher: no problem.... have you heard any other noise since you reported it? 
 User: no I have not
Dispatcher:","[['where should I meet them?', 'Stay where you are. They will meet with you there at your apartment'], ['okay thank you so much', 'no problem.... have you heard any other noise since you reported it?']]",,SuspiciousActivity,18,,,92.27
he's walking out towards [ORG]'s edge- he gave away his bag,That's a good idea. You're going to be fine.,Thank you for keeping us updated.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you
Dispatcher: Thank you for contacting the department of public safety. I will dispatch an officer to investigate. 
 User: he's walking out towards [ORG]'s edge- he gave away his bag
Dispatcher:","[['Thank you', 'Thank you for contacting the department of public safety. I will dispatch an officer to investigate.']]",,SuspiciousActivity,3,,,
they left as I was working. I looked up & they were gone. I'm sorry,It's okay.,We will let you know if the officers request to meet with you at later time. When would you be available?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they left as I was working. I looked up & they were gone. I'm sorry
Dispatcher:",[],,SuspiciousActivity,7,,,
thank you!,you are welcome.,Is the bookstack on the main floor or another floor?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you!
Dispatcher:",[],,SuspiciousActivity,15,99.0,,99.0
"none of them had backpacks or anything school related, just the one guy carrying the plastic bag","ok, so they were just walking down the street?",OFFICERS [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]A [ACRONYM]. [ACRONYM] [ACRONYM] ADVISE [ACRONYM] FUR[ACRONYM]R [ACRONYM] [ACRONYM] [ACRONYM] SUSPICIOUS [ACRONYM] [ACRONYM] [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: none of them had backpacks or anything school related, just the one guy carrying the plastic bag
Dispatcher:",[],,SuspiciousActivity,5,,96.74,99.0
no. I went down the hall for # minutes,"ok, I'll be there in a few minutes",what is the nature of the activity?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: in campus police conference room. test
Dispatcher: where is the suspicious activity? 
 User: no. I went down the hall for # minutes
Dispatcher:","[['in campus police conference room. test', 'where is the suspicious activity?']]",,SuspiciousActivity,3,,99.0,
"black male around #'#"" brown jacket","Hi, how can I help you?",Thank you for using [UNK-NNP]! Is he still in the area?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: black male around #'#"" brown jacket
Dispatcher:",[],,SuspiciousActivity,1,,99.0,99.0
no we are not on campus at the moment.,I see. Is there anything else I can help you with?,can you give me a better description of their location and how long ago you last spotted them,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no we are not on campus at the moment.
Dispatcher:",[],,SuspiciousActivity,5,,99.0,
"This is the [ORG] staff by the way, the app is making us message anonymously","Ok, I understand.",How long ago did you see her there?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: This is the [ORG] staff by the way, the app is making us message anonymously
Dispatcher:",[],,SuspiciousActivity,5,,50.98,99.0
no exact location,no exact location,I will have an officer check the area. D o you have a color of the [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no exact location
Dispatcher:",[],,SuspiciousActivity,3,,,
sure where would you want to meet,"Sure, I can meet you at the police station.",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] OFFICERS [ACRONYM] [ACRONYM] DINING [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] ENTRANCE?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sure where would you want to meet
Dispatcher:",[],,SuspiciousActivity,6,99.0,,
not a prob! have a good one!,You too.,You as well.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: *he has
Dispatcher: Okay thank you. We have a patrol officer en route to that area as well as [ACRONYM]. 
 User: not a prob! have a good one!
Dispatcher:","[['*he has', 'Okay thank you. We have a patrol officer en route to that area as well as [ACRONYM].']]",,SuspiciousActivity,5,99.0,99.0,99.0
what was a little bit odd was that there was a car seat on the back right seat and boxes or something on the car seat,what was a little bit odd was that there was a car seat on the back right seat and boxes or something on the car seat,ok thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: what was a little bit odd was that there was a car seat on the back right seat and boxes or something on the car seat
Dispatcher:",[],,SuspiciousActivity,5,1.0,88.66,99.0
Hes been here a couple of times,How can I help you?,Is he alone?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hes been here a couple of times
Dispatcher:",[],,SuspiciousActivity,1,,,
Got it. Will give them a call. Thank you!,You're welcome!,welcome! :),"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: And thank you for your prompt response
Dispatcher: i would just notify the local division which is [ORG] division (###) ###-####. You're most welcome! Have a great evening> 
 User: Got it. Will give them a call. Thank you!
Dispatcher:","[['And thank you for your prompt response', ""i would just notify the local division which is [ORG] division (###) ###-####. You're most welcome! Have a great evening>""]]",,SuspiciousActivity,5,99.0,1.0,
Is someone being sent?,"Yes, an officer is on the way.",[ACRONYM] [UNK-NNP] would like to speak with your friend in order to make sure a crime did not occur. Please encourage her to call [ACRONYM] [UNK-NNP] so we can investigate further.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is someone being sent?
Dispatcher:",[],,SuspiciousActivity,8,,,99.0
but he definitely went south,What do you mean?,Ok thanks.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: but he definitely went south
Dispatcher:",[],,SuspiciousActivity,10,,99.0,
No problem,I'm sorry to hear that.,"Thank you, [UNK-NNP] [PERSON]!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: No problem
Dispatcher:",[],,SuspiciousActivity,3,,93.93,1.0
about to get to [ORG] park stayion,"Hello, how can I help you?",Are you able to call us at ###-###-#### so that I can confirm the location?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: about to get to [ORG] park stayion
Dispatcher:",[],,SuspiciousActivity,9,,,99.0
green [ORG],[Dispatcher name],Dispatcher [UNK-NNP]. What kind of car?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: green [ORG]
Dispatcher:",[],,SuspiciousActivity,1,,,99.0
I do not recall - I think grey,Is she wearing a shirt?,How long ago did you see him?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: commenting on girls as they walk by - very uncomfortable
Dispatcher: Can I have a description from head to toe starting with ethnicity? 
 User: Latino with baggy shorts and a baseball cap
Dispatcher: Color shirt please? 
 User: I do not recall - I think grey
Dispatcher:","[['commenting on girls as they walk by - very uncomfortable', 'Can I have a description from head to toe starting with ethnicity?'], ['Latino with baggy shorts and a baseball cap', 'Color shirt please?']]",,SuspiciousActivity,8,,,
testing again,testing again,test test,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: testing again
Dispatcher:",[],,SuspiciousActivity,1,,99.0,
they are carrying what looks like spray paint and template for ad they are painting,Do you know where they are?,do you know what they are painting?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: all look student age
Dispatcher: Do you know which fountain they are near? How long ago did you see them 
 User: they are carrying what looks like spray paint and template for ad they are painting
Dispatcher:","[['all look student age', 'Do you know which fountain they are near? How long ago did you see them']]",,SuspiciousActivity,5,,99.0,
dudes got a baseball cap,"hi, this is the police department, how can I help you?",thank you for the tip I will send someone to investigate. Which building is this?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: dudes got a baseball cap
Dispatcher:",[],,SuspiciousActivity,3,,,99.0
"no thanks, just testing. have a great day.","Hello, this is the police department.",[ACRONYM] [UNK-NNP]. Can I help you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no thanks, just testing. have a great day.
Dispatcher:",[],,SuspiciousActivity,1,99.0,99.0,
thank you,You're welcome.,someone is on the way over thanks,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,SuspiciousActivity,6,99.0,99.0,
suspicious person at football field,police dispatcher,This is [ORG]. How may I help you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: suspicious person at football field
Dispatcher:",[],,SuspiciousActivity,1,1.0,99.0,
thank you. she stopped chasing me now.,that's great.,We have identified the person.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you. she stopped chasing me now.
Dispatcher:",[],,SuspiciousActivity,6,99.0,99.0,
sorry,"hello, how can I help you?",Thank you for the description. What did they ask you for?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry
Dispatcher:",[],,SuspiciousActivity,5,,,99.0
Thank you so much.,You're welcome.,Officers just talked to them,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you so much.
Dispatcher:",[],,SuspiciousActivity,18,99.0,,99.0
"working on a visual, housemate saw them and texted me.",I'm sorry to hear that.,"ok thanks the officer is in the area now, any other info, description of direction","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: working on a visual, housemate saw them and texted me.
Dispatcher:",[],,SuspiciousActivity,2,,,99.0
ok thank you.,you are welcome,"no problem, have a good night. or is it morning?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Was the situation resolved?
Dispatcher: officers patrolled the area several times but the vehicle was not found. 
 User: was a man reported earlier with a fur jacket on or something? since you asked whether he had a fur jacket on.
Dispatcher: a male was seen walking in the area by one of the officers 
 User: ok thank you.
Dispatcher:","[['Was the situation resolved?', 'officers patrolled the area several times but the vehicle was not found.'], ['was a man reported earlier with a fur jacket on or something? since you asked whether he had a fur jacket on.', 'a male was seen walking in the area by one of the officers']]",,SuspiciousActivity,14,99.0,,
it looks like they are leaving soon though.,I'm sorry to hear that. I'm going to need you to wait here for the officers to arrive.,ok thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: right outside of the dining hall
Dispatcher: thank you officers are on their way 
 User: it looks like they are leaving soon though.
Dispatcher:","[['right outside of the dining hall', 'thank you officers are on their way']]",,SuspiciousActivity,11,,,99.0
ok great. thank you again.,"You are very welcome and thank you for the tip, she is a homeless woman who is always in that area, whenever you see her always give us a call","No problem, have a goodnight","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: she walked from highland to canner and asked me if I was going to call the police
Dispatcher: Thank you, we have her stopped and my officers are taking care of it right now 
 User: wow that was fast. she didn't do anything wrong. it was just suspicious. thanks for your quick action! I hope she is okay
Dispatcher: You are very welcome and thank you for the tip, she is a homeless woman who is always in that area, whenever you see her always give us a call 
 User: okay thank you. just so I know what happens to her when the police come?
Dispatcher: we make sure she ok 
 User: ok great. thank you again.
Dispatcher:","[['she walked from highland to canner and asked me if I was going to call the police', 'Thank you, we have her stopped and my officers are taking care of it right now'], [""wow that was fast. she didn't do anything wrong. it was just suspicious. thanks for your quick action! I hope she is okay"", 'You are very welcome and thank you for the tip, she is a homeless woman who is always in that area, whenever you see her always give us a call'], ['okay thank you. just so I know what happens to her when the police come?', 'we make sure she ok']]",,SuspiciousActivity,11,99.0,97.84,99.0
thank you there is also beer bottles in the bin that belongs to an underage person I don't know if that matters thank you,No problem.,Thank you for calling [PERSON].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: two
Dispatcher: Thanks.We will check it out. 
 User: thank you there is also beer bottles in the bin that belongs to an underage person I don't know if that matters thank you
Dispatcher:","[['two', 'Thanks .We will check it out .']]",,SuspiciousActivity,6,99.0,99.0,99.0
yes inside and asleep on a table,thank you/will have officers respond asap/is he a danger to himself or others,ok thank you very much/officers are en route,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ([UNK-NNP]n't look like he belongs there)
Dispatcher: thank you/will have officers respond asap/is he inside the apple store 
 User: yes inside and asleep on a table
Dispatcher:","[[""([UNK-NNP]n't look like he belongs there)"", 'thank you/will have officers respond asap/is he inside the apple store']]",,SuspiciousActivity,3,,99.0,
he is back in taper,"Ok, we will send someone out.",Ok we will send officers,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: can i be notified when this is handled or any updates on the situation
Dispatcher: You can call for an update [QUANTITY]-####. Did he go north or south on [GPE]? 
 User: he is back in taper
Dispatcher:","[['can i be notified when this is handled or any updates on the situation', 'You can call for an update [QUANTITY]-####. Did he go north or south on [GPE]?']]",,SuspiciousActivity,8,,99.0,99.0
"he was making people in [ACRONYM] uncomfortable, I don't know the specifics on that though as I was not there when it happened","Okay, I'm going to need a little more information than that.",Thank you for this information. I will inform our [UNK-NNP] [UNK-NNP] [UNK-NNP] [UNK-NNP] of this update.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he was making people in [ACRONYM] uncomfortable, I don't know the specifics on that though as I was not there when it happened
Dispatcher:",[],,SuspiciousActivity,4,1.0,,
Should we stay here until a [ORG] officer arrives?,"It is not necessary to stay here. If you would like to leave, you may do so. If you would like to stay, that is also fine.","No, you are fine to go on about your day. Thank you again for notifying us of his presence on campus.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he was making people in [ACRONYM] uncomfortable, I don't know the specifics on that though as I was not there when it happened
Dispatcher: Thank you for this information. I will inform our [UNK-NNP] [UNK-NNP] [UNK-NNP] [UNK-NNP] of this update. 
 User: he is now sitting at the benches hear the fireplace
Dispatcher: Thank you for his updated location. Is he doing anything specific at this time? 
 User: no
Dispatcher: Thank you. I will inform our [UNK-NNP] [UNK-NNP] [UNK-NNP] [UNK-NNP] of this information. Is it alright if we contact you later for further information if we need to? 
 User: yes
Dispatcher: Thank you very much. 
 User: Should we stay here until a [ORG] officer arrives?
Dispatcher:","[[""he was making people in [ACRONYM] uncomfortable, I don't know the specifics on that though as I was not there when it happened"", 'Thank you for this information. I will inform our [UNK-NNP] [UNK-NNP] [UNK-NNP] [UNK-NNP] of this update.'], ['he is now sitting at the benches hear the fireplace', 'Thank you for his updated location. Is he doing anything specific at this time?'], ['no', 'Thank you. I will inform our [UNK-NNP] [UNK-NNP] [UNK-NNP] [UNK-NNP] of this information. Is it alright if we contact you later for further information if we need to?'], ['yes', 'Thank you very much.']]",,SuspiciousActivity,12,,99.0,97.84
"I'm our for a walk right now, and the street is basically empty. I didn't hear anyone inside the house, but I didn't really get closer to look",You're on the right track. The best thing to do is to walk around the block and see if you can see anything.,Thank you for the update.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm our for a walk right now, and the street is basically empty. I didn't hear anyone inside the house, but I didn't really get closer to look
Dispatcher:",[],,SuspiciousActivity,4,1.0,,
its raining and they were just standing there in the rain. talking to each other,[ORG] will [UNK-NNP] [UNK-NNP]. Are [UNK-NNP] [UNK-NNP] [UNK-NNP] around or What are they doing,Security is [UNK-NNP] and [UNK-NNP] the [UNK-NNP],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they were just standing talking to each other
Dispatcher: [ORG] will [UNK-NNP] [UNK-NNP]. Are [UNK-NNP] [UNK-NNP] [UNK-NNP] around or What are they doing 
 User: its raining and they were just standing there in the rain. talking to each other
Dispatcher:","[['they were just standing talking to each other', '[ORG] will [UNK-NNP] [UNK-NNP]. Are [UNK-NNP] [UNK-NNP] [UNK-NNP] around or What are they doing']]",,SuspiciousActivity,3,,97.84,20.23
thank you. we are checking our cars at [PERSON] now,I [UNK-NNP] that is a good idea. I [UNK-NNP] be careful,On are way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: and [PERSON]
Dispatcher: Thank you for the tip I [UNK-NNP] go check it out 
 User: thank you. we are checking our cars at [PERSON] now
Dispatcher:","[['and [PERSON]', 'Thank you for the tip I [UNK-NNP] go check it out']]",,SuspiciousActivity,4,99.0,99.0,
